submission_number,snapshot_id,snapshot_row_number,primary_product_code,metadata_match_status
K254207,FDA_AI_LIST_2026-06-29,1,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252360,FDA_AI_LIST_2026-06-29,2,SAT,MATCH_AFTER_DATE_NORMALIZATION
K253649,FDA_AI_LIST_2026-06-29,3,JAK,MATCH_AFTER_DATE_NORMALIZATION
K252148,FDA_AI_LIST_2026-06-29,4,IYN,MATCH_AFTER_DATE_NORMALIZATION
K254161,FDA_AI_LIST_2026-06-29,5,POK,MATCH_AFTER_DATE_NORMALIZATION
K253595,FDA_AI_LIST_2026-06-29,6,IYN,MATCH_AFTER_DATE_NORMALIZATION
K253625,FDA_AI_LIST_2026-06-29,7,LNH,MATCH_AFTER_DATE_NORMALIZATION
K260746,FDA_AI_LIST_2026-06-29,8,LNH,MATCH_AFTER_DATE_NORMALIZATION
K253270,FDA_AI_LIST_2026-06-29,9,QKB,MATCH_AFTER_DATE_NORMALIZATION
K253379,FDA_AI_LIST_2026-06-29,10,HAW,MATCH_AFTER_DATE_NORMALIZATION
K253796,FDA_AI_LIST_2026-06-29,11,QDQ,MATCH_AFTER_DATE_NORMALIZATION
K253775,FDA_AI_LIST_2026-06-29,12,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252099,FDA_AI_LIST_2026-06-29,13,OWB,MATCH_AFTER_DATE_NORMALIZATION
K252421,FDA_AI_LIST_2026-06-29,14,QAS,MATCH_AFTER_DATE_NORMALIZATION
K260673,FDA_AI_LIST_2026-06-29,15,IYN,MATCH_AFTER_DATE_NORMALIZATION
K252992,FDA_AI_LIST_2026-06-29,16,JAK,MATCH_AFTER_DATE_NORMALIZATION
K253686,FDA_AI_LIST_2026-06-29,17,JAK,MATCH_AFTER_DATE_NORMALIZATION
K253520,FDA_AI_LIST_2026-06-29,18,JAK,MATCH_AFTER_DATE_NORMALIZATION
K253574,FDA_AI_LIST_2026-06-29,19,JAK,MATCH_AFTER_DATE_NORMALIZATION
K260509,FDA_AI_LIST_2026-06-29,20,QKB,MATCH_AFTER_DATE_NORMALIZATION
K252304,FDA_AI_LIST_2026-06-29,21,MUJ,MATCH_AFTER_DATE_NORMALIZATION
DEN250014,FDA_AI_LIST_2026-06-29,22,SHL,MATCH_AFTER_DATE_NORMALIZATION
K253614,FDA_AI_LIST_2026-06-29,23,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252282,FDA_AI_LIST_2026-06-29,24,PBZ,MATCH_AFTER_DATE_NORMALIZATION
K253944,FDA_AI_LIST_2026-06-29,25,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252433,FDA_AI_LIST_2026-06-29,26,IYN,MATCH_AFTER_DATE_NORMALIZATION
K252261,FDA_AI_LIST_2026-06-29,27,QIH,MATCH_AFTER_DATE_NORMALIZATION
K260078,FDA_AI_LIST_2026-06-29,28,JAK,MATCH_AFTER_DATE_NORMALIZATION
K252089,FDA_AI_LIST_2026-06-29,29,DQD,MATCH_AFTER_DATE_NORMALIZATION
K250655,FDA_AI_LIST_2026-06-29,30,QZF,MATCH_AFTER_DATE_NORMALIZATION
K253584,FDA_AI_LIST_2026-06-29,31,OWB,MATCH_AFTER_DATE_NORMALIZATION
K253413,FDA_AI_LIST_2026-06-29,32,LNH,MATCH_AFTER_DATE_NORMALIZATION
K253668,FDA_AI_LIST_2026-06-29,33,OLZ,MATCH_AFTER_DATE_NORMALIZATION
K260166,FDA_AI_LIST_2026-06-29,34,JAK,MATCH_AFTER_DATE_NORMALIZATION
K260167,FDA_AI_LIST_2026-06-29,35,JAK,MATCH_AFTER_DATE_NORMALIZATION
K253551,FDA_AI_LIST_2026-06-29,36,QIH,MATCH_AFTER_DATE_NORMALIZATION
K253442,FDA_AI_LIST_2026-06-29,37,QPF,MATCH_AFTER_DATE_NORMALIZATION
K252538,FDA_AI_LIST_2026-06-29,38,QIH,MATCH_AFTER_DATE_NORMALIZATION
K260169,FDA_AI_LIST_2026-06-29,39,JAK,MATCH_AFTER_DATE_NORMALIZATION
K251901,FDA_AI_LIST_2026-06-29,40,LNH,MATCH_AFTER_DATE_NORMALIZATION
K253898,FDA_AI_LIST_2026-06-29,41,IYO,MATCH_AFTER_DATE_NORMALIZATION
P250008,FDA_AI_LIST_2026-06-29,42,SHH,MATCH_AFTER_DATE_NORMALIZATION
K253818,FDA_AI_LIST_2026-06-29,43,QAS,MATCH_AFTER_DATE_NORMALIZATION
K253593,FDA_AI_LIST_2026-06-29,44,QIH,MATCH_AFTER_DATE_NORMALIZATION
K253535,FDA_AI_LIST_2026-06-29,45,QIH,MATCH_AFTER_DATE_NORMALIZATION
K253578,FDA_AI_LIST_2026-06-29,46,QAS,MATCH_AFTER_DATE_NORMALIZATION
K260217,FDA_AI_LIST_2026-06-29,47,QIH,MATCH_AFTER_DATE_NORMALIZATION
K253648,FDA_AI_LIST_2026-06-29,48,LNH,MATCH_AFTER_DATE_NORMALIZATION
K260265,FDA_AI_LIST_2026-06-29,49,LNH,MATCH_AFTER_DATE_NORMALIZATION
K252972,FDA_AI_LIST_2026-06-29,50,DQK,MATCH_AFTER_DATE_NORMALIZATION
K252500,FDA_AI_LIST_2026-06-29,51,OWB,MATCH_AFTER_DATE_NORMALIZATION
K252002,FDA_AI_LIST_2026-06-29,52,MUJ,MATCH_AFTER_DATE_NORMALIZATION
K250233,FDA_AI_LIST_2026-06-29,53,DXH,MATCH_AFTER_DATE_NORMALIZATION
K253564,FDA_AI_LIST_2026-06-29,54,KPS,MATCH_AFTER_DATE_NORMALIZATION
K253381,FDA_AI_LIST_2026-06-29,55,OLO,MATCH_AFTER_DATE_NORMALIZATION
DEN250007,FDA_AI_LIST_2026-06-29,56,SHE,MATCH_AFTER_DATE_NORMALIZATION
K252084,FDA_AI_LIST_2026-06-29,57,QIH,MATCH_AFTER_DATE_NORMALIZATION
K254016,FDA_AI_LIST_2026-06-29,58,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252076,FDA_AI_LIST_2026-06-29,59,DQD,MATCH_AFTER_DATE_NORMALIZATION
K251218,FDA_AI_LIST_2026-06-29,60,DQK,MATCH_AFTER_DATE_NORMALIZATION
