annotation_id,submission_number,field,baseline_codes,codes,annotation_state,source_limited,limitation_layer
DEN130013:input,DEN130013,input,LAB_SPECIMEN_OR_OMICS,LAB_SPECIMEN_OR_OMICS,CODED,false,NONE
DEN130013:output,DEN130013,output,CLASSIFICATION_OR_DIAGNOSIS,CLASSIFICATION_OR_DIAGNOSIS,CODED,false,NONE
DEN130013:user,DEN130013,user,NOT_STATED,NOT_STATED,NOT_STATED,true,FIELD_NOT_STATED
DEN130013:setting,DEN130013,setting,LABORATORY,LABORATORY,CODED,false,NONE
DEN130013:action,DEN130013,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN130013:component_status,DEN130013,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN140025:input,DEN140025,input,PHYSIOLOGICAL_SIGNAL,PHYSIOLOGICAL_SIGNAL,CODED,false,NONE
DEN140025:output,DEN140025,output,CLASSIFICATION_OR_DIAGNOSIS,CLASSIFICATION_OR_DIAGNOSIS,CODED,false,NONE
DEN140025:user,DEN140025,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
DEN140025:setting,DEN140025,setting,DIAGNOSTIC_INTERPRETATION,DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
DEN140025:action,DEN140025,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN140025:component_status,DEN140025,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN160026:input,DEN160026,input,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
DEN160026:output,DEN160026,output,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
DEN160026:user,DEN160026,user,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
DEN160026:setting,DEN160026,setting,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
DEN160026:action,DEN160026,action,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
DEN160026:component_status,DEN160026,component_status,UNCERTAIN,UNCERTAIN,UNCERTAIN,true,AI_ATTRIBUTION_BARRIER
DEN160044:input,DEN160044,input,PHYSIOLOGICAL_SIGNAL,PHYSIOLOGICAL_SIGNAL,CODED,false,NONE
DEN160044:output,DEN160044,output,RISK_SCORE_OR_PREDICTION;DETECTION_OR_ALERT,RISK_SCORE_OR_PREDICTION;DETECTION_OR_ALERT,CODED,false,NONE
