annotation_id,submission_number,field,label
DEN130013:input,DEN130013,input,LAB_SPECIMEN_OR_OMICS
DEN130013:output,DEN130013,output,CLASSIFICATION_OR_DIAGNOSIS
DEN130013:setting,DEN130013,setting,LABORATORY
DEN130013:action,DEN130013,action,INTERPRETATION_OR_DIAGNOSIS
DEN140025:input,DEN140025,input,PHYSIOLOGICAL_SIGNAL
DEN140025:output,DEN140025,output,CLASSIFICATION_OR_DIAGNOSIS
DEN140025:user,DEN140025,user,OTHER_PHYSICIAN
DEN140025:setting,DEN140025,setting,DIAGNOSTIC_INTERPRETATION
DEN140025:action,DEN140025,action,INTERPRETATION_OR_DIAGNOSIS
DEN160044:input,DEN160044,input,PHYSIOLOGICAL_SIGNAL
DEN160044:output,DEN160044,output,DETECTION_OR_ALERT
DEN160044:output,DEN160044,output,RISK_SCORE_OR_PREDICTION
DEN160044:user,DEN160044,user,OTHER_CLINICIAN
DEN160044:setting,DEN160044,setting,MONITORING
DEN160044:setting,DEN160044,setting,PROCEDURAL_OR_OPERATING_ROOM
DEN160044:action,DEN160044,action,INTERPRETATION_OR_DIAGNOSIS
DEN160044:action,DEN160044,action,MONITORING_OR_FOLLOW_UP
DEN170022:input,DEN170022,input,MEDICAL_IMAGE
DEN170022:output,DEN170022,output,MEASUREMENT_OR_QUANTIFICATION
DEN170022:output,DEN170022,output,OTHER
DEN170022:user,DEN170022,user,RADIOLOGIST
DEN170022:setting,DEN170022,setting,DIAGNOSTIC_INTERPRETATION
DEN170022:setting,DEN170022,setting,SCREENING
DEN170022:action,DEN170022,action,INTERPRETATION_OR_DIAGNOSIS
DEN170043:input,DEN170043,input,CLINICAL_TABULAR_OR_TEXT
DEN170043:input,DEN170043,input,DEVICE_TELEMETRY_OR_OPERATIONAL
DEN170043:input,DEN170043,input,PHYSIOLOGICAL_SIGNAL
DEN170043:output,DEN170043,output,RECOMMENDATION_OR_PLANNING
DEN170043:user,DEN170043,user,OTHER_CLINICIAN
DEN170043:user,DEN170043,user,OTHER_PHYSICIAN
DEN170043:setting,DEN170043,setting,MONITORING
DEN170043:setting,DEN170043,setting,OTHER
DEN170043:action,DEN170043,action,THERAPY_DOSE_OR_DEVICE_CONTROL
DEN170043:action,DEN170043,action,TREATMENT_OR_PROCEDURE_PLANNING
DEN170073:input,DEN170073,input,MEDICAL_IMAGE
DEN170073:output,DEN170073,output,DETECTION_OR_ALERT
DEN170073:user,DEN170073,user,OTHER_PHYSICIAN
DEN170073:setting,DEN170073,setting,ACUTE_TRIAGE_OR_EMERGENCY
DEN170073:action,DEN170073,action,REFERRAL_OR_ESCALATION
DEN170073:action,DEN170073,action,TRIAGE_OR_PRIORITIZATION
DEN170090:input,DEN170090,input,PHYSIOLOGICAL_SIGNAL
DEN170090:output,DEN170090,output,CONTROL_OR_AUTOMATION
DEN170090:output,DEN170090,output,RECOMMENDATION_OR_PLANNING
DEN170090:user,DEN170090,user,OTHER_CLINICIAN
DEN170090:user,DEN170090,user,PATIENT_OR_CAREGIVER
DEN170090:setting,DEN170090,setting,HOME_OR_CONSUMER
DEN170090:setting,DEN170090,setting,MONITORING
DEN170090:action,DEN170090,action,THERAPY_DOSE_OR_DEVICE_CONTROL
DEN170090:action,DEN170090,action,TREATMENT_OR_PROCEDURE_PLANNING
DEN170091:input,DEN170091,input,PHYSIOLOGICAL_SIGNAL
DEN170091:output,DEN170091,output,CLASSIFICATION_OR_DIAGNOSIS
