bridge_id,annotation_id,subject_submission_number,anchor_document_submission_number,anchor_purpose,source_url,source_record_ids,document_sha256,text_sha256,physical_page,normalized_char_start,normalized_char_end,quote_sha256,normalized_quote_sha256,normalized_quote_characters
BRIDGEcac9494c5d11e98b,K210645:component_status,K210645,K210645,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,4,930,983,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,53
BRIDGEbbcc71b6cbd5a360,K210645:component_status,K210645,K210645,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,5,3481,3570,54a33f317336c60091f03ed0c221ea39075f4aab1a4562c9c6ed2ddb7c14bb34,54a33f317336c60091f03ed0c221ea39075f4aab1a4562c9c6ed2ddb7c14bb34,89
BRIDGEe1478c740169c799,K210645:input,K210645,K210645,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,4,930,983,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,53
BRIDGE0f5ccce1373842c4,K210645:input,K210645,K210645,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,5,3481,3570,54a33f317336c60091f03ed0c221ea39075f4aab1a4562c9c6ed2ddb7c14bb34,54a33f317336c60091f03ed0c221ea39075f4aab1a4562c9c6ed2ddb7c14bb34,89
BRIDGE58302306dfc876c3,K210645:output,K210645,K210645,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,4,930,983,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,53
BRIDGEdbf309ac78a5532e,K210645:output,K210645,K210645,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,5,3481,3570,54a33f317336c60091f03ed0c221ea39075f4aab1a4562c9c6ed2ddb7c14bb34,54a33f317336c60091f03ed0c221ea39075f4aab1a4562c9c6ed2ddb7c14bb34,89
BRIDGE2d4e439466c2da7a,K210645:user,K210645,K210645,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,4,930,983,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,53
BRIDGEb8a89d452b6c9c55,K210645:user,K210645,K210645,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,5,3481,3570,54a33f317336c60091f03ed0c221ea39075f4aab1a4562c9c6ed2ddb7c14bb34,54a33f317336c60091f03ed0c221ea39075f4aab1a4562c9c6ed2ddb7c14bb34,89
BRIDGEbc405c74a8064615,K211867:component_status,K211867,K210645,INTERMEDIATE_SOURCE_CHAIN_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,4,930,983,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,1a3eac5175d868dad25d8c97cfe65b091d31717cacc0f967f3eff1622322e05c,53
BRIDGEbd3812c020343674,K211867:component_status,K211867,K210645,INTERMEDIATE_SOURCE_CHAIN_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,SRC02291,b30d02ffe7adcaf4405462ab6ccd003fa2da516007e9fb32c00a406072d5d332,17d0c35e85098d61c97c191d20a1a83bb32180c68de67f01693b0ed0428d03db,5,3481,3570,54a33f317336c60091f03ed0c221ea39075f4aab1a4562c9c6ed2ddb7c14bb34,54a33f317336c60091f03ed0c221ea39075f4aab1a4562c9c6ed2ddb7c14bb34,89
BRIDGE5d8cc5118261ca2a,K211867:component_status,K211867,K211867,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211867.pdf,SRC02241,381276da0f0fcf94718caa8d7873cf62eb9618cd23b08d8cb21f72f2d9624fb3,186abe47d4f1f3b9e710f0bba1c5678fee6cc200bd4935a6e2c3b15867c64054,6,904,949,87b03479a2f791f21b93936120d56635eb40b5cc1820aa2fe85c58a75fc850e9,87b03479a2f791f21b93936120d56635eb40b5cc1820aa2fe85c58a75fc850e9,45
BRIDGEf83c0a4963f0bbde,K211867:component_status,K211867,K211867,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211867.pdf,SRC02241,381276da0f0fcf94718caa8d7873cf62eb9618cd23b08d8cb21f72f2d9624fb3,186abe47d4f1f3b9e710f0bba1c5678fee6cc200bd4935a6e2c3b15867c64054,7,1406,1487,8d38cb9a6fb3c859828189ce1b83534371d40eb3b4c2d346c5eb62dad6ced30e,8d38cb9a6fb3c859828189ce1b83534371d40eb3b4c2d346c5eb62dad6ced30e,81
