submission_number,field,baseline_value,current_value,change_class
K182034,output,MEASUREMENT_OR_QUANTIFICATION,MEASUREMENT_OR_QUANTIFICATION;SEGMENTATION_OR_LOCALIZATION,AUTHOR_REPORTED_EXPERT_CONFIRMED_AMENDMENT_2026_09_08
K182513,action,NOT_ASSESSABLE,INTERPRETATION_OR_DIAGNOSIS;REFERRAL_OR_ESCALATION,RETAINED_SOURCE_UPDATE_NOT_NEW_RECODING
K182513,ai_function_scope,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,RETAINED_SCOPE_AMENDMENT_NOT_NEW_RECODING
K182513,component_status,UNCERTAIN,SINGLE,RETAINED_SOURCE_UPDATE_NOT_NEW_RECODING
K182513,input,NOT_ASSESSABLE,LAB_SPECIMEN_OR_OMICS,RETAINED_SOURCE_UPDATE_NOT_NEW_RECODING
K182513,output,NOT_ASSESSABLE,CLASSIFICATION_OR_DIAGNOSIS,RETAINED_SOURCE_UPDATE_NOT_NEW_RECODING
K182513,setting,NOT_ASSESSABLE,LABORATORY,RETAINED_SOURCE_UPDATE_NOT_NEW_RECODING
K182513,user,NOT_ASSESSABLE,LABORATORY_PROFESSIONAL,RETAINED_SOURCE_UPDATE_NOT_NEW_RECODING
K190013,action,PATIENT_SELF_MANAGEMENT;THERAPY_DOSE_OR_DEVICE_CONTROL,NOT_ASSESSABLE,AUTHOR_REPORTED_EXPERT_CONFIRMED_AMENDMENT_2026_09_08
K190013,ai_function_scope,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,AUTHOR_REPORTED_EXPERT_CONFIRMED_AMENDMENT_2026_09_08
K190013,component_status,MULTIPLE,UNCERTAIN,AUTHOR_REPORTED_EXPERT_CONFIRMED_AMENDMENT_2026_09_08
K190013,input,CLINICAL_TABULAR_OR_TEXT,NOT_ASSESSABLE,AUTHOR_REPORTED_EXPERT_CONFIRMED_AMENDMENT_2026_09_08
K190013,output,RECOMMENDATION_OR_PLANNING,NOT_ASSESSABLE,AUTHOR_REPORTED_EXPERT_CONFIRMED_AMENDMENT_2026_09_08
K190013,setting,HOME_OR_CONSUMER;OTHER,NOT_ASSESSABLE,AUTHOR_REPORTED_EXPERT_CONFIRMED_AMENDMENT_2026_09_08
K190013,user,OTHER_CLINICIAN;PATIENT_OR_CAREGIVER,NOT_ASSESSABLE,AUTHOR_REPORTED_EXPERT_CONFIRMED_AMENDMENT_2026_09_08
K233662,ai_function_scope,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,SOURCE_INSUFFICIENT,RETAINED_SCOPE_AMENDMENT_NOT_NEW_RECODING
