field,code,class,multiple_values_allowed
input,AUDIO_OR_VIDEO,POSITIVE_CONTENT_LABEL,true
input,CLINICAL_TABULAR_OR_TEXT,POSITIVE_CONTENT_LABEL,true
input,DEVICE_TELEMETRY_OR_OPERATIONAL,POSITIVE_CONTENT_LABEL,true
input,LAB_SPECIMEN_OR_OMICS,POSITIVE_CONTENT_LABEL,true
input,MEDICAL_IMAGE,POSITIVE_CONTENT_LABEL,true
input,MULTIMODAL,POSITIVE_CONTENT_LABEL,true
input,NOT_ASSESSABLE,LIMITATION_STATE,true
input,NOT_STATED,LIMITATION_STATE,true
input,OTHER,POSITIVE_CONTENT_LABEL,true
input,PHYSIOLOGICAL_SIGNAL,POSITIVE_CONTENT_LABEL,true
output,CLASSIFICATION_OR_DIAGNOSIS,POSITIVE_CONTENT_LABEL,true
output,CONTROL_OR_AUTOMATION,POSITIVE_CONTENT_LABEL,true
output,DETECTION_OR_ALERT,POSITIVE_CONTENT_LABEL,true
output,DOCUMENTATION_OR_SUMMARY,POSITIVE_CONTENT_LABEL,true
output,MEASUREMENT_OR_QUANTIFICATION,POSITIVE_CONTENT_LABEL,true
output,NOT_ASSESSABLE,LIMITATION_STATE,true
output,NOT_STATED,LIMITATION_STATE,true
output,OTHER,POSITIVE_CONTENT_LABEL,true
output,RECOMMENDATION_OR_PLANNING,POSITIVE_CONTENT_LABEL,true
output,RECONSTRUCTION_OR_ENHANCEMENT,POSITIVE_CONTENT_LABEL,true
output,RISK_SCORE_OR_PREDICTION,POSITIVE_CONTENT_LABEL,true
output,SEGMENTATION_OR_LOCALIZATION,POSITIVE_CONTENT_LABEL,true
user,LABORATORY_PROFESSIONAL,POSITIVE_CONTENT_LABEL,true
user,NOT_ASSESSABLE,LIMITATION_STATE,true
user,NOT_STATED,LIMITATION_STATE,true
user,OTHER,POSITIVE_CONTENT_LABEL,true
user,OTHER_CLINICIAN,POSITIVE_CONTENT_LABEL,true
user,OTHER_PHYSICIAN,POSITIVE_CONTENT_LABEL,true
user,PATIENT_OR_CAREGIVER,POSITIVE_CONTENT_LABEL,true
user,RADIOLOGIST,POSITIVE_CONTENT_LABEL,true
user,TECHNOLOGIST_OR_OPERATOR,POSITIVE_CONTENT_LABEL,true
setting,ACUTE_TRIAGE_OR_EMERGENCY,POSITIVE_CONTENT_LABEL,true
setting,DIAGNOSTIC_INTERPRETATION,POSITIVE_CONTENT_LABEL,true
setting,HOME_OR_CONSUMER,POSITIVE_CONTENT_LABEL,true
setting,INPATIENT,POSITIVE_CONTENT_LABEL,true
setting,LABORATORY,POSITIVE_CONTENT_LABEL,true
setting,MONITORING,POSITIVE_CONTENT_LABEL,true
setting,NOT_ASSESSABLE,LIMITATION_STATE,true
setting,NOT_STATED,LIMITATION_STATE,true
setting,OTHER,POSITIVE_CONTENT_LABEL,true
setting,OUTPATIENT,POSITIVE_CONTENT_LABEL,true
setting,PROCEDURAL_OR_OPERATING_ROOM,POSITIVE_CONTENT_LABEL,true
setting,SCREENING,POSITIVE_CONTENT_LABEL,true
action,INTERPRETATION_OR_DIAGNOSIS,POSITIVE_CONTENT_LABEL,true
action,MONITORING_OR_FOLLOW_UP,POSITIVE_CONTENT_LABEL,true
action,NOT_ASSESSABLE,LIMITATION_STATE,true
action,NOT_STATED,LIMITATION_STATE,true
action,OTHER,POSITIVE_CONTENT_LABEL,true
action,PATIENT_SELF_MANAGEMENT,POSITIVE_CONTENT_LABEL,true
action,REFERRAL_OR_ESCALATION,POSITIVE_CONTENT_LABEL,true
action,THERAPY_DOSE_OR_DEVICE_CONTROL,POSITIVE_CONTENT_LABEL,true
action,TREATMENT_OR_PROCEDURE_PLANNING,POSITIVE_CONTENT_LABEL,true
action,TRIAGE_OR_PRIORITIZATION,POSITIVE_CONTENT_LABEL,true
action,WORKFLOW_OR_DOCUMENTATION,POSITIVE_CONTENT_LABEL,true
component_status,MULTIPLE,FUNCTION_GROUP_STATE,false
component_status,SINGLE,FUNCTION_GROUP_STATE,false
component_status,UNCERTAIN,LIMITATION_STATE,false
