table,column,type,description,blank_cells
associated_source_relationships.csv,annotation_id,string,Primary field key: submission_number followed by a colon and one of the six field names.,0
associated_source_relationships.csv,recorded_source_url,URL,"Original annotation source URL, unchanged even when it identifies an associated authorization.",0
associated_source_relationships.csv,subject_source_url,URL,Subject authorization document used to establish an associated-source relationship or its boundary.,0
associated_source_relationships.csv,source_relationship,categorical,Descriptive source-continuity relation identified in the targeted AI-assisted provenance review; not a semantic accuracy or independent human-review grade.,0
associated_source_relationships.csv,support_scope_note,string,"English source-support boundary explaining why linked-source detail is not necessarily direct, exhaustive current-subject evidence; no long quotation or private workflow note.",0
associated_source_relationships.csv,source_caution_codes,semicolon-delimited categories or blank,"Scientific source-use cautions such as scope exclusions, configuration limits and feature details not restated; not reviewer identity, confidence or approval status.",11
authorizations.csv,submission_number,string,Stable FDA submission-level authorization identifier; PMA supplement slashes are retained.,0
authorizations.csv,device_name,string,Public device name in the retained FDA list snapshot; not an independently deduplicated product identity.,0
authorizations.csv,company,string,Retained public applicant/manufacturer string; spelling variants are not merged.,0
authorizations.csv,regulatory_pathway,categorical,"Retained authorization route: 510k, de_novo or pma.",0
authorizations.csv,date_of_final_decision,date,Retained authorization decision date in YYYY-MM-DD form.,0
authorizations.csv,medical_specialty,categorical,"Retained FDA specialty/panel label, not a reclassified clinical specialty.",0
authorizations.csv,baseline_ai_function_scope,categorical,Source-attribution category before the retained targeted source amendments.,0
authorizations.csv,ai_function_scope,categorical,Current source-attribution layer; see retained codebook and README. It does not imply that every ordinary algorithm is AI.,0
authorizations.csv,baseline_clinical_function_group,categorical,"Baseline SINGLE, MULTIPLE or UNCERTAIN clinical-function grouping.",0
authorizations.csv,clinical_function_group,categorical,"Current SINGLE, MULTIPLE or UNCERTAIN grouping of described clinical functions; not a number of internal models.",0
cohort_snapshot_manifest.csv,snapshot_artifact_id,string,"Unique identifier for a retained cohort CSV, XLSX or source-metadata artifact.",0
cohort_snapshot_manifest.csv,snapshot_id,string,"Fixed cohort snapshot identifier, shared by three artifact-manifest rows and all membership rows.",0
cohort_snapshot_manifest.csv,artifact_name,string,Basename of the retained original cohort artifact; no private filesystem path.,0
cohort_snapshot_manifest.csv,artifact_sha256,SHA-256,"SHA-256 of retained original bytes, matched against the historical metadata and archive.",0
cohort_snapshot_manifest.csv,artifact_bytes,integer,Byte length of the retained original artifact.,0
cohort_snapshot_manifest.csv,recorded_access_date,date,Historical source access date recorded in retained metadata; not a new download date.,0
cohort_snapshot_manifest.csv,recorded_source_url,URL,Original FDA list-page or download URL. Cohort downloads may change over time; artifact hashes identify the retained version.,0
cohort_snapshot_manifest.csv,artifact_format,categorical,"CSV, XLSX or TXT for the historical cohort artifact.",0
cohort_snapshot_manifest.csv,distribution_status,categorical,DISTRIBUTED_IN_RELEASE_SOURCE_ARCHIVES; the three retained originals are distributed under source_materials/input/cohort.,0
cohort_snapshot_membership.csv,submission_number,string,Stable FDA submission-level authorization identifier; PMA supplement slashes are retained.,0
cohort_snapshot_membership.csv,snapshot_id,string,"Fixed cohort snapshot identifier, shared by three artifact-manifest rows and all membership rows.",0
cohort_snapshot_membership.csv,snapshot_row_number,integer,One-based CSV record position after the header in the retained original FDA list; unique within the snapshot.,0
cohort_snapshot_membership.csv,primary_product_code,string,Primary FDA product code copied from the retained original cohort list; not a new clinical-function label.,0
cohort_snapshot_membership.csv,metadata_match_status,categorical,MATCH_AFTER_DATE_NORMALIZATION or MATCH_AFTER_DATE_AND_COMPANY_TRIM; refers to historical list metadata matching.,0
evidence_links.csv,annotation_id,string,Primary field key: submission_number followed by a colon and one of the six field names.,0
evidence_links.csv,source_record_ids,semicolon-delimited identifiers,One or more matching source-capture record IDs; candidate linkage retains URL/source ambiguity rather than inventing a unique document.,0
evidence_links.csv,recorded_source_url,URL,"Original annotation source URL, unchanged even when it identifies an associated authorization.",0
evidence_links.csv,source_url_authorization_tokens,semicolon-delimited identifiers,"Authorization-like tokens parsed from URL, including PMA supplement suffix. Tokens are not a semantic verification of provenance.",0
evidence_links.csv,source_authorization_relationship,categorical,"Direct subject URL token, officially linked alternate identifier, associated other-authorization legacy link, other-authorization source not indexed for subject, or no URL token. Associated-source detail must not be described as direct subject evidence.",0
evidence_links.csv,subject_source_pair_in_legacy_manifest,boolean,Whether the exact subject/canonical-URL pair was indexed in the original manifest. Canonical matching normalizes http/https and hostname case only.,0
evidence_links.csv,quote_sha256,SHA-256,"SHA-256 of the original UTF-8 annotation quotation, without publishing that quotation.",0
evidence_links.csv,recorded_locator_en,string,English reconstruction of the retained page/span locator; internal cache paths and working notes are removed.,0
evidence_links.csv,recorded_pages,semicolon-delimited integers or blank,Reported physical PDF page numbers; HTML logical marker 0 is not a PDF page.,42
evidence_links.csv,recorded_char_start,integer or blank,Original zero-based start in whitespace-normalized page text; inclusive. A recorded value may be superseded only by an explicitly separate verified locator.,127
evidence_links.csv,recorded_char_end,integer or blank,Original zero-based exclusive end in whitespace-normalized page text.,127
evidence_links.csv,text_sha256,SHA-256 or blank,"Source-record table: actual text hash recorded in legacy manifest. Evidence table: SHA-256 computed from the stored text artifact used in this assembly locator check. Artifacts may be extraction, web excerpt, or transcription.",6
evidence_links.csv,normalized_quote_sha256,SHA-256,"SHA-256 after Python re.sub(r""\s+"", "" "", quote).strip(); no case folding or Unicode transliteration.",0
evidence_links.csv,normalized_quote_characters,integer,"Length in Unicode code points of the whitespace-normalized quote, not UTF-8 bytes.",0
evidence_links.csv,verified_page,integer or blank,"Page with a unique exact quote match; 0 denotes HTML logical text. Blank for non-machine, unchecked image or multiple-page references.",129
evidence_links.csv,verified_char_start,integer or blank,Exact-match start added by mechanical checking; not a new semantic annotation.,129
evidence_links.csv,verified_char_end,integer or blank,Exact-match exclusive end added by mechanical checking.,129
evidence_links.csv,verified_locator_en,string or blank,Separate mechanically supported locator; the recorded locator remains available.,129
evidence_links.csv,text_source_kind,categorical,"FDA_PDF_TEXT_EXTRACT, FDA_HTML_EXTRACT, STORED_WEB_EXCERPT, STORED_IMAGE_TRANSCRIPTION, or PAGE_ONLY_REFERENCE. Text matches to a transcription are not independent checks of FDA OCR or page imagery.",0
evidence_links.csv,locator_check_status,categorical,"Exact original-span match, exact relocated quote, multiple-page occurrences without chosen correction, unchecked recorded image transcription, or no machine anchor. Full states are enumerated in validation/summary.json.",0
field_annotations.csv,annotation_id,string,Primary field key: submission_number followed by a colon and one of the six field names.,0
